ticker,expense,segment,issuer,name,aum,return_ytd,return_1m,return_3m,return_1y,return_3y,return_5y,return_10y,flow_ytd,flow_1m,flow_3m,flow_1y,flow_3y
FORH,1.20%,Alternatives: Absolute Returns,Formidable Asset Management,Formidable ETF,24,-2.61%,-2.53%,-2.78%,--,--,--,--,$0.04M,$0.04M,$0.66M,$23.89M,$23.89M
DBEH,0.85%,Alternatives: Absolute Returns,Litman Gregory Capital Partners LLC,iMGP DBi Hedge Strategy ETF,20,-4.51%,-17.71%,-19.11%,-19.07%,--,--,--,$0.00M,$0.00M,$0.00M,$0.76M,$17.29M
QED,0.70%,Alternatives: Absolute Returns,New York Life,IQ Hedge Event-Driven Tracker ETF,20,-4.09%,-4.11%,-5.26%,-4.86%,5.98%,5.21%,--,$1.15M,$1.15M,$2.33M,$16.56M,$17.54M
QLS,0.59%,Alternatives: Absolute Returns,New York Life,IQ Hedge Long/Short Tracker ETF,20,-4.04%,-3.55%,-3.91%,2.94%,10.96%,8.31%,--,$1.42M,$1.42M,$2.83M,$9.48M,$11.62M
ARB,0.87%,Alternatives: Absolute Returns,Water Island Capital Partners LP,AltShares Merger Arbitrage ETF,19,-0.88%,-0.73%,0%,2.27%,--,--,--,$0.00M,$0.00M,$11.16M,$12.45M,$16.20M
QMN,0.66%,Alternatives: Absolute Returns,New York Life,IQ Hedge Market Neutral Tracker ETF,17,-1.30%,-1.19%,-1.73%,-2.90%,2.58%,1.88%,--,$0.00M,$0.00M,$0.00M,$1.35M,$1.07M
UPAR,0.65%,Alternatives: Absolute Returns,Toroso Investments,UPAR Ultra Risk Parity ETF,17,--,--,--,--,--,--,--,$17.44M,$17.44M,$17.44M,$17.44M,$17.44M
ALTS,0.95%,Alternatives: Absolute Returns,ProShares,ProShares Morningstar Alternatives Solution ETF,8,-3.01%,-3.40%,-4.62%,3.24%,2.91%,1.47%,--,$0.39M,$0.39M,-$1.16M,$0.75M,$1.13M
LBAY,1.09%,Alternatives: Absolute Returns,Toroso Investments,Leatherback Long/Short Alternative Yield ETF,7,4.82%,7.53%,9.47%,26.81%,--,--,--,$0.66M,$0.66M,$0.66M,$1.80M,$5.85M
CBLS,1.95%,Alternatives: Absolute Returns,Changebridge Capital LLC,Changebridge Capital Long/Short Equity ETF,6,-3.88%,-3.47%,-12.15%,-4.83%,--,--,--,-$0.46M,-$0.46M,-$0.46M,$2.75M,$3.72M
FUT,0.76%,Alternatives: Absolute Returns,ProShares,ProShares Managed Futures Strategy ETF,6,0.80%,0.44%,-4.83%,-4.39%,0.02%,-0.44%,--,$0.00M,$0.00M,-$0.02M,$1.59M,$3.28M
RALS,0.95%,Alternatives: Absolute Returns,ProShares,ProShares RAFI Long/Short ETF,4,5.09%,5.49%,4.36%,5.38%,-2.59%,-3.47%,-1.33%,$0.00M,$0.00M,$0.00M,-$0.34M,-$4.89M
MCRO,0.67%,Alternatives: Absolute Returns,New York Life,IQ Hedge Macro Tracker ETF,4,-2.38%,-2.18%,-4.21%,-5.68%,3.26%,2.76%,0.93%,$0.00M,$0.00M,$0.00M,$0.00M,-$2.64M
MARB,2.30%,Alternatives: Absolute Returns,First Trust,First Trust Merger Arbitrage ETF,4,-0.05%,0.13%,0.36%,0.51%,--,--,--,-$0.98M,-$2.94M,-$3.93M,-$8.87M,$1.80M
DIVA,1.21%,Alternatives: Absolute Returns,AGF,AGFiQ Hedged Dividend Income Fund,4,3.91%,5.39%,7.82%,15.96%,4.80%,3.65%,--,$0.00M,$0.00M,$0.00M,$0.00M,$0.06M
EVNT,1.30%,Alternatives: Absolute Returns,Water Island Capital Partners LP,AltShares Event-Driven ETF,3,-3.20%,-3.12%,-4.86%,--,--,--,--,-$0.30M,-$0.30M,-$0.30M,-$0.20M,-$0.20M
BDRY,3.76%,Alternatives: Freight Dry Freight,ETFMG,Breakwave Dry Bulk Shipping ETF,46,-33.40%,-26.63%,-29.25%,104.58%,9.16%,--,--,-$3.89M,-$3.89M,-$14.95M,-$6.60M,$1.09M
RSEE,1.09%,Alternatives: Global Long/Short_Long/Short Equity,Neil Azous Revocable Trust,Rareview Systematic Equity ETF,1,--,--,--,--,--,--,--,$0.00M,$0.00M,$0.00M,$0.00M,$0.00M
PFIX,0.50%,Alternatives: Spreads Inflation,Simplify Asset Management Inc.,Simplify Interest Rate Hedge ETF,127,7.62%,5.54%,-2.22%,--,--,--,--,$0.95M,$0.95M,$9.88M,$130.91M,$130.91M
RINF,0.30%,Alternatives: Spreads Inflation,ProShares,ProShares Inflation Expectations ETF,43,-3.38%,-1.87%,-3.72%,10.61%,5.06%,2.41%,-1.36%,$0.00M,$0.00M,$4.19M,$35.21M,$28.45M
VXX,0.89%,Alternatives: U.S. - Volatility,Barclays Capital Inc.,iPath Series B S&P 500 VIX Short Term Futures ETN,943,31.25%,20.52%,13.27%,-64.65%,-45.30%,--,--,-$83.32M,$113.28M,-$398.00M,$727.14M,"$1,782.51M"
VIXY,0.85%,Alternatives: U.S. - Volatility,ProShares,ProShares VIX Short-Term Futures ETF,381,30.78%,20.39%,13.18%,-63.87%,-45.45%,-40.05%,-50.58%,$25.69M,$37.67M,$4.54M,$245.52M,$596.32M
VIXM,0.85%,Alternatives: U.S. - Volatility,ProShares,ProShares VIX Mid-Term Futures ETF,129,5.33%,2.38%,6.98%,-18.13%,10.20%,-2.71%,-19.09%,$11.45M,$11.45M,-$7.46M,$61.14M,$81.88M
SVOL,0.00%,Alternatives: U.S. - Volatility,Simplify Asset Management Inc.,Simplify Volatility Premium ETF,95,-7.89%,-9.21%,-10.96%,--,--,--,--,$28.52M,$29.20M,$42.35M,$93.35M,$93.35M
VXZ,0.89%,Alternatives: U.S. - Volatility,Barclays Capital Inc.,iPath Series B S&P 500 VIX Mid-Term Futures ETN,52,4.86%,2.08%,6.98%,-17.94%,10.46%,--,--,$2.59M,$2.59M,$6.42M,$19.60M,$29.95M
WEIX,1.85%,Alternatives: U.S. - Volatility,RBS Securities,Dynamic Short Short-Term Volatility Futures ETF,3,--,--,--,--,--,--,--,$1.00M,$1.00M,$1.00M,$1.00M,$1.00M
NTSI,0.26%,Asset Allocation: Developed Markets Ex-North America Target Risk,WisdomTree,WisdomTree International Efficient Core Fund,116,-5.09%,-4.80%,-5.12%,--,--,--,--,$35.89M,$98.34M,$102.33M,$120.27M,$120.27M
DMRI,0.50%,Asset Allocation: Developed Markets Ex-U.S. Target Outcome,Transamerica Funds,DeltaShares S&P International Managed Risk ETF,172,-5.23%,-4.77%,-5.85%,1.94%,4.57%,--,--,$0.00M,$0.00M,$0.00M,-$5.29M,-$57.07M
FFTG,1.05%,Asset Allocation: Developed Markets Target Outcome,Al Marketing LLC,FormulaFolios Tactical Growth ETF,43,-9.02%,-7.22%,-6.54%,-1.66%,8.27%,--,--,-$1.50M,-$2.26M,-$3.80M,-$12.77M,-$5.35M
NTSE,0.38%,Asset Allocation: Emerging Markets Target Risk,WisdomTree,WisdomTree Emerging Markets Efficient Core Fund,44,-3.06%,-2.39%,-7.05%,--,--,--,--,$12.84M,$40.20M,$42.16M,$42.16M,$42.16M
TDSC,0.69%,Asset Allocation: Global Target Outcome,Exchange Traded Concepts,Cabana Target Drawdown 10 ETF,925,-8.81%,-8.19%,-6.94%,3.36%,--,--,--,$122.64M,$126.91M,$157.15M,$347.77M,$913.93M
PCEF,2.34%,Asset Allocation: Global Target Outcome,Invesco,Invesco CEF Income Composite ETF,882,-7.07%,-6.13%,-6.58%,6.68%,9.31%,6.97%,6.87%,$4.13M,$7.25M,$1.31M,$94.88M,$167.42M
YYY,2.45%,Asset Allocation: Global Target Outcome,Amplify Investments,Amplify High Income ETF,405,-5.65%,-4.97%,-6.19%,4.86%,6.66%,5.40%,--,$1.59M,$0.76M,-$3.03M,$148.50M,$259.56M
TDSD,0.69%,Asset Allocation: Global Target Outcome,Exchange Traded Concepts,Cabana Target Drawdown 13 ETF,361,-12.71%,-12.41%,-12.58%,0.92%,--,--,--,$30.74M,$38.12M,$113.96M,$202.44M,$370.34M
TDSB,0.69%,Asset Allocation: Global Target Outcome,Exchange Traded Concepts,Cabana Target Drawdown 7 ETF,341,-7.92%,-7.51%,-6.98%,-0.90%,--,--,--,$40.76M,$41.44M,$87.36M,-$32.34M,$346.60M
GAL,0.35%,Asset Allocation: Global Target Outcome,State Street Global Advisors,SPDR SSgA Global Allocation ETF,275,-4.52%,-3.98%,-3.92%,4.92%,10.06%,8.45%,--,-$0.85M,$4.67M,-$0.09M,$6.05M,-$42.02M
YLD,0.39%,Asset Allocation: Global Target Outcome,Principal,Principal Active High Yield ETF,237,-1.49%,-1.23%,-0.70%,7.07%,6.77%,5.20%,--,-$4.10M,-$4.10M,$8.21M,-$0.64M,-$66.27M
AGOX,1.69%,Asset Allocation: Global Target Outcome,Cavalier16,Adaptive Alpha Opportunities ETF,226,-7.83%,-6.87%,-8.43%,--,--,--,--,$9.34M,$11.37M,$47.56M,$98.73M,$98.73M
IYLD,0.60%,Asset Allocation: Global Target Outcome,Blackrock,iShares Morningstar Multi-Asset Income ETF,218,-3.37%,-2.93%,-2.56%,0.30%,3.04%,3.55%,--,-$7.10M,-$7.10M,-$11.92M,-$41.72M,-$57.38M
TDSE,0.69%,Asset Allocation: Global Target Outcome,Exchange Traded Concepts,Cabana Target Drawdown 16 ETF,192,-12.72%,-12.49%,-11.76%,2.48%,--,--,--,$19.75M,$22.75M,$56.80M,$111.49M,$194.58M
CVY,1.00%,Asset Allocation: Global Target Outcome,Invesco,Invesco Zacks Multi-Asset Income ETF,127,-0.44%,1.58%,-1.33%,19.19%,8.48%,7.33%,5.99%,$0.00M,$0.00M,-$1.47M,-$15.80M,-$115.90M
INKM,0.50%,Asset Allocation: Global Target Outcome,State Street Global Advisors,SPDR SSGA Income Allocation ETF,124,-2.41%,-2.02%,-2.11%,4.76%,7.13%,6.29%,--,$8.68M,$8.68M,$20.84M,$1.54M,$19.28M
GDMA,0.77%,Asset Allocation: Global Target Outcome,Gadsden,Gadsden Dynamic Multi-Asset ETF,121,-1.58%,-1.14%,-0.42%,1.33%,10.61%,--,--,$2.85M,$2.85M,$2.23M,$21.33M,$92.77M
DALI,0.91%,Asset Allocation: Global Target Outcome,First Trust,First Trust Dorsey Wright DALI 1 ETF,116,-9.44%,-8.49%,-8.72%,3.41%,9.47%,--,--,$1.23M,-$0.10M,$6.94M,$47.70M,$60.45M
SPBC,0.50%,Asset Allocation: Global Target Outcome,Simplify Asset Management Inc.,Simplify U.S. Equity PLUS GBTC ETF,105,-11.34%,-11.84%,-11.41%,--,--,--,--,-$1.38M,-$1.38M,$2.23M,$102.87M,$102.87M
CEFS,3.80%,Asset Allocation: Global Target Outcome,Exchange Traded Concepts,Saba Closed-End Funds ETF,85,-1.76%,0.03%,-2.58%,12.39%,12.53%,--,--,$1.97M,$1.97M,$7.25M,$27.06M,$47.59M
HISF,0.87%,Asset Allocation: Global Target Outcome,First Trust,First Trust High Income Strategic Focus ETF,65,-1.49%,-0.07%,-0.49%,6.17%,2.48%,0.57%,--,--,--,--,--,--
AHHX,0.92%,Asset Allocation: Global Target Outcome,Cavalier16,Adaptive High Income ETF,62,-3.43%,-3.39%,--,--,--,--,--,$2.88M,$3.09M,$11.17M,$11.17M,$11.17M
GMOM,0.96%,Asset Allocation: Global Target Outcome,Cambria,Cambria Global Momentum ETF,61,-0.04%,2.23%,-1.73%,13.97%,9.18%,6.76%,--,$0.00M,$0.00M,$0.00M,-$7.25M,-$60.29M
MPRO,1.36%,Asset Allocation: Global Target Outcome,Kingsview Partners LLC,Monarch ProCap ETF,56,-3.75%,-2.73%,-1.66%,--,--,--,--,$1.38M,$1.38M,$4.80M,$53.00M,$53.00M
WBII,1.45%,Asset Allocation: Global Target Outcome,WBI,WBI BullBear Global Income ETF,51,-4.41%,-3.99%,-3.46%,-1.06%,3.00%,2.35%,--,$0.00M,$0.00M,-$1.23M,-$7.44M,-$59.33M
LEXI,1.03%,Asset Allocation: Global Target Outcome,Alexis Investment Partners LLC,Alexis Practical Tactical ETF,50,-7.57%,-6.52%,-4.54%,--,--,--,--,$2.14M,$2.95M,$5.62M,$32.97M,$32.97M
DMRE,0.60%,Asset Allocation: Global Target Outcome,Transamerica Funds,DeltaShares S&P EM 100 & Managed Risk ETF,46,-2.32%,-2.28%,-8.36%,-18.79%,--,--,--,$0.00M,$0.00M,$0.00M,$0.00M,$40.20M
ROMO,0.82%,Asset Allocation: Global Target Outcome,Strategy Shares,Strategy Shares Newfound/ReSolve Robust Momentum ETF,44,-9.09%,-8.36%,-5.40%,6.37%,--,--,--,-$3.01M,-$3.01M,$0.67M,$0.06M,$37.37M
THY,1.36%,Asset Allocation: Global Target Outcome,Toews Corp.,Toews Agility Shares Dynamic Tactical Income ETF,43,-1.19%,-1.30%,-2.50%,-2.66%,--,--,--,$0.60M,-$0.01M,$3.09M,$3.68M,$41.32M
TCTL,0.86%,Asset Allocation: Global Target Outcome,Premise Capital,Premise Capital Diversified Tactical ETF,39,-6.57%,-6.03%,-4.51%,5.51%,4.77%,5.42%,--,$0.00M,$0.00M,$0.00M,-$13.35M,-$1.23M
FCEF,2.91%,Asset Allocation: Global Target Outcome,First Trust,First Trust CEF Income Opportunity ETF,37,-8.30%,-6.87%,-7.50%,6.04%,9.81%,7.71%,--,$1.22M,$1.22M,$2.46M,$5.09M,-$7.73M
AMAX,0.96%,Asset Allocation: Global Target Outcome,Cavalier16,Adaptive RH Hedged Multi-Asset Income ETF,37,-4.34%,-3.71%,--,--,--,--,--,$1.17M,$1.17M,$19.54M,$19.54M,$19.54M
GYLD,0.75%,Asset Allocation: Global Target Outcome,Arrow Funds,Arrow Dow Jones Global Yield ETF,37,-0.30%,0.66%,-1.12%,13.97%,3.32%,1.76%,--,-$1.13M,-$1.13M,-$2.25M,-$5.58M,-$16.60M
RHRX,1.44%,Asset Allocation: Global Target Outcome,Cavalier16,RH Tactical Rotation ETF,32,-8.18%,-7.49%,--,--,--,--,--,-$0.43M,$0.01M,$8.04M,$8.04M,$8.04M
TDSA,0.69%,Asset Allocation: Global Target Outcome,Exchange Traded Concepts,Cabana Target Drawdown 5 ETF,32,-7.86%,-7.97%,-6.38%,-0.46%,--,--,--,$1.94M,$4.57M,$1.96M,$13.62M,$30.52M
MAMB,1.47%,Asset Allocation: Global Target Outcome,Kingsview Partners LLC,Monarch Ambassador Income ETF,30,-2.97%,-2.86%,-3.28%,--,--,--,--,$0.62M,$0.62M,$1.26M,$30.10M,$30.10M
DSCF,0.39%,Asset Allocation: Global Target Outcome,Alpha Architect,Discipline Fund ETF,28,-4.21%,-5.08%,-4.47%,--,--,--,--,$4.44M,$5.21M,$17.30M,$29.26M,$29.26M
RHTX,1.37%,Asset Allocation: Global Target Outcome,Cavalier16,RH Tactical Outlook ETF,24,-9.33%,-8.66%,--,--,--,--,--,$4.25M,$4.57M,$11.62M,$11.62M,$11.62M
LCR,0.79%,Asset Allocation: Global Target Outcome,The Leuthold Group LLC,Leuthold Core ETF,18,-4.62%,-4.20%,-3.14%,4.22%,--,--,--,$1.58M,$1.58M,$2.35M,$3.83M,$15.96M
EUCG,0.82%,Asset Allocation: Global Target Outcome,Toroso Investments,Euclid Capital Growth ETF,13,-10.67%,-10.49%,-11.49%,-8.66%,--,--,--,-$5.13M,-$11.19M,-$28.62M,-$16.17M,$13.76M
RULE,0.91%,Asset Allocation: Global Target Outcome,Retireful LLC,Adaptive Core ETF,13,-8.99%,-7.84%,--,--,--,--,--,$11.83M,$11.83M,$13.09M,$13.09M,$13.09M
BITS,0.65%,Asset Allocation: Global Target Outcome,"Mirae Asset Global Investments Co., Ltd.",Global X Blockchain and Bitcoin Strategy ETF,7,-23.35%,-30.83%,--,--,--,--,--,-$0.00M,-$0.00M,$12.57M,$12.57M,$12.57M
MFUL,1.07%,Asset Allocation: Global Target Outcome,Retireful LLC,Mindful Conservative ETF,7,-4.07%,-3.96%,--,--,--,--,--,$5.49M,$5.49M,$6.12M,$6.12M,$6.12M
FOMO,0.90%,Asset Allocation: Global Target Outcome,"Tuttle Tactical Management, LLC",FOMO ETF,6,-4.94%,-4.31%,-13.29%,--,--,--,--,$1.13M,$1.13M,$0.46M,$6.86M,$6.86M
FAIL,0.63%,Asset Allocation: Global Target Outcome,Cambria,Cambria Global Tail Risk ETF,5,2.61%,0.25%,-2.40%,-15.47%,-2.88%,-1.03%,--,$0.00M,$0.00M,$0.00M,-$12.49M,-$16.45M
DEFN,0.55%,Asset Allocation: Global Target Outcome,Emles Advisors LLC,Emles Protective Allocation ETF,4,0%,0%,0.67%,-1.02%,--,--,--,$0.00M,$0.00M,$0.00M,-$3.73M,$1.26M
DWAT,1.66%,Asset Allocation: Global Target Outcome,Arrow Funds,Arrow DWA Tactical Macro ETF,3,-0.64%,0.96%,-18.69%,-10.98%,4.77%,3.20%,--,$0.00M,$0.00M,$0.00M,$0.00M,-$2.23M
WLTG,0.68%,Asset Allocation: Global Target Outcome,WealthTrust Asset Management LLC,WealthTrust DBS Long Term Growth ETF,3,-9.60%,-9.10%,--,--,--,--,--,$1.92M,$2.57M,$2.57M,$2.57M,$2.57M
HOM,0.60%,Asset Allocation: Global Target Outcome,Lifegoal Investments LLC,LifeGoal Home Down Payment Investment ETF,1,-3.85%,-3.29%,-3.02%,--,--,--,--,$0.00M,$0.00M,$0.98M,$1.22M,$1.22M
WLTH,0.59%,Asset Allocation: Global Target Outcome,Lifegoal Investments LLC,LifeGoal Wealth Builder ETF,1,-5.66%,-5.16%,-5.06%,--,--,--,--,$0.00M,$0.00M,$0.24M,$1.23M,$1.23M
GDMN,0.45%,Asset Allocation: Global Target Outcome,WisdomTree,WisdomTree Efficient Gold Plus Gold Miners Strategy Fund,1,-4.50%,-2.15%,--,--,--,--,--,$0.00M,$0.00M,-$0.00M,-$0.00M,-$0.00M
CHLD,0.60%,Asset Allocation: Global Target Outcome,Lifegoal Investments LLC,LifeGoal Children Investment ETF,0,-3.06%,-2.74%,-2.61%,--,--,--,--,$0.00M,$0.00M,$0.00M,$0.25M,$0.25M
SUNY,0.45%,Asset Allocation: Global Target Outcome,Lifegoal Investments LLC,LifeGoal Vacation Investment ETF,0,-2.42%,-2.30%,-2.53%,--,--,--,--,$0.00M,$0.00M,$0.00M,$0.25M,$0.25M
TEGS,1.43%,Asset Allocation: Global Target Outcome,"Tuttle Tactical Management, LLC",Trend Aggregation ESG ETF,0,0%,-74.69%,-75.47%,-73.04%,--,--,--,$0.00M,$0.00M,-$7.36M,-$16.79M,-$3.50M
AOR,0.15%,Asset Allocation: Global Target Risk,Blackrock,iShares Core Growth Allocation ETF,1990,-5.24%,-4.77%,-4.26%,3.20%,10.36%,8.39%,7.86%,-$119.00M,-$73.32M,$77.67M,$318.93M,$378.89M
AOM,0.15%,Asset Allocation: Global Target Risk,Blackrock,iShares Core Moderate Allocation ETF,1760,-4.09%,-3.75%,-3.36%,1.24%,8.28%,6.68%,5.98%,-$46.58M,-$23.81M,-$7.69M,$272.06M,$426.41M
AOA,0.15%,Asset Allocation: Global Target Risk,Blackrock,iShares Core Aggressive Allocation ETF,1550,-6.18%,-5.61%,-4.75%,5.38%,12.48%,10.02%,9.63%,-$41.11M,-$26.58M,$85.20M,$272.66M,$288.47M
AOK,0.15%,Asset Allocation: Global Target Risk,Blackrock,iShares Core Conservative Allocation ETF,1120,-3.67%,-3.46%,-2.85%,0.19%,7.14%,5.81%,4.93%,$65.54M,$81.53M,$185.10M,$276.22M,$511.91M
CLSA,0.69%,Asset Allocation: Global Target Risk,Exchange Traded Concepts,Cabana Target Leading Sector Aggressive ETF,430,-13.18%,-12.89%,-8.99%,--,--,--,--,$13.13M,$19.29M,$301.55M,$479.47M,$479.47M
DUDE,1.32%,Asset Allocation: Global Target Risk,Alpha Architect,Merlyn.AI SectorSurfer Momentum ETF,173,-13.32%,-12.71%,-11.70%,-10.99%,--,--,--,$23.47M,$22.01M,$22.03M,$68.71M,$172.59M
OCIO,0.61%,Asset Allocation: Global Target Risk,ClearShares LLC,ClearShares OCIO ETF,129,-6.27%,-5.43%,-4.10%,4.05%,10.28%,--,--,$0.00M,$0.00M,$1.66M,$6.52M,$0.00M
CLSM,0.69%,Asset Allocation: Global Target Risk,Exchange Traded Concepts,Cabana Target Leading Sector Moderate ETF,72,-11.57%,-11.28%,-7.71%,--,--,--,--,$6.14M,$6.14M,-$193.91M,$54.93M,$54.93M
WIZ,1.25%,Asset Allocation: Global Target Risk,Alpha Architect,Merlyn.AI Bull-Rider Bear-Fighter ETF,59,-12.12%,-12.07%,-11.33%,-7.76%,--,--,--,-$8.07M,-$8.07M,-$9.18M,-$41.83M,$48.37M
VSPY,1.10%,Asset Allocation: Global Target Risk,VectorShares LLC,VectorShares Min Vol ETF,47,-1.24%,-0.60%,-1.05%,--,--,--,--,$29.44M,$27.34M,$27.34M,$47.26M,$47.26M
EAOK,0.18%,Asset Allocation: Global Target Risk,Blackrock,iShares ESG Aware Conservative Allocation ETF,43,-3.99%,-3.85%,-3.64%,-0.65%,--,--,--,$0.00M,$0.00M,$1.39M,$40.55M,$41.83M
