,expense,segment,aum,name_x,ticker,issuer,return_5y,return_10y,return_3y,return_1m,name_y,return_1y,return_3m,return_ytd,name,flow_1y,flow_3m,flow_ytd,flow_1m,flow_3y
10,0.19%,Equity: U.S. - Large Cap Growth,$67.06B,iShares Russell 1000 Growth ETF,IWF,Blackrock,20.50%,17.10%,24.60%,-13.42%,iShares Russell 1000 Growth ETF,6.46%,-9.65%,-13.60%,iShares Russell 1000 Growth ETF,"-$2,395.36M","-$1,723.25M","-$1,383.90M","-$1,106.68M","-$7,789.72M"
11,0.06%,Equity: U.S. - Total Market,$63.97B,Vanguard Dividend Appreciation ETF,VIG,Vanguard,14.91%,13.13%,17.69%,-5.86%,Vanguard Dividend Appreciation ETF,14.30%,-2.89%,-7.46%,Vanguard Dividend Appreciation ETF,"$4,007.84M","$1,318.17M",-$679.92M,-$528.86M,"$13,583.01M"
12,0.05%,Equity: U.S. - Mid Cap,$63.04B,iShares Core S&P Mid-Cap ETF,IJH,Blackrock,10.33%,12.30%,14.26%,-7.13%,iShares Core S&P Mid-Cap ETF,7.05%,-7.39%,-8.64%,iShares Core S&P Mid-Cap ETF,"$2,997.88M","$1,866.96M",$647.04M,$802.43M,$361.80M
13,0.19%,Equity: U.S. - Small Cap,$61.61B,iShares Russell 2000 ETF,IWM,Blackrock,9.06%,11.18%,11.88%,-10.45%,iShares Russell 2000 ETF,-6.55%,-13.12%,-10.61%,iShares Russell 2000 ETF,$976.59M,$224.23M,-$235.62M,-$961.99M,"$6,331.22M"
14,0.19%,Equity: U.S. - Large Cap Value,$56.63B,iShares Russell 1000 Value ETF,IWD,Blackrock,9.72%,11.76%,13.57%,-2.58%,iShares Russell 1000 Value ETF,17.14%,-2.09%,-3.92%,iShares Russell 1000 Value ETF,"$5,197.28M","$1,246.15M","-$1,024.01M","-$1,015.06M","$4,542.26M"
15,0.04%,Equity: U.S. - Mid Cap,$52.06B,Vanguard Mid-Cap ETF,VO,Vanguard,12.44%,13.01%,16.59%,-9.53%,Vanguard Mid-Cap ETF,7.84%,-9.77%,-10.59%,Vanguard Mid-Cap ETF,"$6,556.01M","$2,549.46M",$441.02M,$463.72M,"$13,922.16M"
16,0.10%,Equity: U.S. Information Technology,$48.75B,Vanguard Information Technology ETF,VGT,Vanguard,26.54%,20.95%,31.57%,-13.45%,Vanguard Information Technology ETF,8.66%,-7.71%,-13.77%,Vanguard Information Technology ETF,"$2,983.35M",$261.49M,$132.41M,$144.77M,"$7,670.74M"
17,0.12%,Equity: U.S. Financials,$46.68B,Financial Select Sector SPDR Fund,XLF,State Street Global Advisors,12.40%,14.98%,16.42%,-0.90%,Financial Select Sector SPDR Fund,30.00%,-4.71%,-1.49%,Financial Select Sector SPDR Fund,"$8,138.21M","$3,502.81M","$2,748.62M","$3,794.83M","$11,035.30M"
18,0.04%,"Fixed Income: U.S. - Corporate, Broad-based Investment Grade Intermediate",$46.02B,Vanguard Intermediate-Term Corporate Bond ETF,VCIT,Vanguard,4.43%,4.29%,5.73%,-2.31%,Vanguard Intermediate-Term Corporate Bond ETF,-3.33%,-1.94%,-2.23%,Vanguard Intermediate-Term Corporate Bond ETF,"$4,926.37M","$2,158.00M",$2.32M,$2.13M,"$24,215.76M"
19,0.12%,Equity: U.S. Real Estate,$46.02B,Vanguard Real Estate ETF,VNQ,Vanguard,8.82%,9.77%,13.14%,-6.34%,Vanguard Real Estate ETF,25.00%,-3.12%,-9.48%,Vanguard Real Estate ETF,"$6,378.68M","$2,145.30M",$950.29M,$543.34M,"$7,976.52M"
20,0.05%,Equity: U.S. - Small Cap,$45.52B,Vanguard Small-Cap ETF,VB,Vanguard,10.59%,12.22%,13.55%,-8.72%,Vanguard Small-Cap ETF,-0.24%,-11.34%,-9.49%,Vanguard Small-Cap ETF,"$5,565.66M","$1,744.22M",$177.61M,$343.16M,"$11,870.04M"
21,0.12%,Equity: U.S. Information Technology,$44.69B,Technology Select Sector SPDR Fund,XLK,State Street Global Advisors,26.07%,20.65%,33.44%,-12.37%,Technology Select Sector SPDR Fund,14.00%,-4.47%,-12.84%,Technology Select Sector SPDR Fund,"$1,041.64M",$186.12M,-$584.00M,-$583.54M,"$2,097.74M"
22,0.03%,Equity: U.S. - Total Market,$42.65B,iShares Core S&P Total U.S. Stock Market ETF,ITOT,Blackrock,15.00%,14.51%,19.00%,-8.56%,iShares Core S&P Total U.S. Stock Market ETF,10.17%,-6.60%,-9.17%,iShares Core S&P Total U.S. Stock Market ETF,"$6,220.55M","$1,189.44M",$278.00M,$466.27M,"$12,838.35M"
23,0.06%,Equity: U.S. - High Dividend Yield,$42.20B,Vanguard High Dividend Yield ETF,VYM,Vanguard,11.05%,12.45%,14.15%,-0.27%,Vanguard High Dividend Yield ETF,20.39%,2.04%,-1.74%,Vanguard High Dividend Yield ETF,"$4,373.71M","$1,845.17M",$308.59M,$525.56M,"$11,115.55M"
24,0.05%,"Fixed Income: U.S. - Broad Market, Broad-based Investment Grade Short-Term",$41.50B,Vanguard Short-Term Bond ETF,BSV,Vanguard,2.02%,1.56%,2.51%,-0.74%,Vanguard Short-Term Bond ETF,-1.78%,-1.04%,-0.75%,Vanguard Short-Term Bond ETF,"$12,168.93M",-$312.47M,-$240.65M,-$192.19M,"$17,467.64M"
25,0.04%,"Fixed Income: U.S. - Corporate, Broad-based Investment Grade Short-Term",$41.29B,Vanguard Short-Term Corporate Bond ETF,VCSH,Vanguard,2.68%,2.49%,3.21%,-0.87%,Vanguard Short-Term Corporate Bond ETF,-1.37%,-1.13%,-0.90%,Vanguard Short-Term Corporate Bond ETF,"$5,549.93M",-$393.68M,-$8.94M,$39.86M,"$17,832.85M"
26,0.19%,"Fixed Income: U.S. - Government, Inflation-linked Investment Grade",$37.00B,iShares TIPS Bond ETF,TIP,Blackrock,4.58%,2.60%,7.32%,-1.70%,iShares TIPS Bond ETF,2.73%,-1.50%,-2.44%,iShares TIPS Bond ETF,"$10,288.03M","$2,225.15M",-$811.84M,-$208.08M,"$12,920.80M"
27,0.14%,"Fixed Income: U.S. - Corporate, Broad-based Investment Grade",$36.72B,iShares iBoxx USD Investment Grade Corporate Bond ETF,LQD,Blackrock,4.97%,4.48%,6.63%,-3.44%,iShares iBoxx USD Investment Grade Corporate Bond ETF,-3.80%,-2.64%,-3.31%,iShares iBoxx USD Investment Grade Corporate Bond ETF,"-$13,795.07M","-$1,036.45M",-$984.96M,-$308.70M,-$69.65M
28,0.18%,Equity: U.S. - Large Cap Growth,$34.32B,iShares S&P 500 Growth ETF,IVW,Blackrock,19.55%,16.81%,23.56%,-12.87%,iShares S&P 500 Growth ETF,10.44%,-7.71%,-13.15%,iShares S&P 500 Growth ETF,"-$1,514.56M",-$375.76M,-$980.31M,-$858.28M,"-$3,838.58M"
29,0.12%,Equity: U.S. Health Care,$33.64B,Health Care Select Sector SPDR Fund,XLV,State Street Global Advisors,14.91%,15.49%,15.06%,-7.96%,Health Care Select Sector SPDR Fund,9.92%,-2.37%,-9.00%,Health Care Select Sector SPDR Fund,"$5,233.59M","$3,828.94M","$1,137.90M","$1,177.80M","$6,769.11M"
30,0.12%,Equity: U.S. Energy,$32.82B,Energy Select Sector SPDR Fund,XLE,State Street Global Advisors,2.08%,2.50%,7.43%,18.96%,Energy Select Sector SPDR Fund,64.21%,12.53%,17.68%,Energy Select Sector SPDR Fund,"$5,894.42M","$1,681.82M","$1,587.75M","$2,131.57M","$11,598.57M"
31,0.03%,Equity: U.S. - Large Cap,$32.18B,Schwab U.S. Large-Cap ETF,SCHX,Charles Schwab,15.65%,14.77%,19.73%,-8.47%,Schwab U.S. Large-Cap ETF,11.86%,-6.05%,-9.10%,Schwab U.S. Large-Cap ETF,"$2,963.94M",$564.61M,$134.48M,$185.75M,"$7,162.17M"
32,0.06%,Equity: U.S. - High Dividend Yield,$31.68B,Schwab U.S. Dividend Equity ETF,SCHD,Charles Schwab,15.74%,14.60%,20.66%,-1.97%,Schwab U.S. Dividend Equity ETF,22.13%,0.59%,-3.46%,Schwab U.S. Dividend Equity ETF,"$10,930.48M","$2,100.54M","$1,540.17M","$1,789.40M","$16,327.95M"
33,0.20%,Equity: U.S. - Large Cap,$31.65B,Invesco S&P 500 Equal Weight ETF,RSP,Invesco,13.36%,13.80%,17.73%,-4.65%,Invesco S&P 500 Equal Weight ETF,17.99%,-3.55%,-6.13%,Invesco S&P 500 Equal Weight ETF,"$8,491.02M","$1,779.28M","$1,355.11M","$1,513.01M","$9,786.78M"
34,0.15%,Equity: U.S. - Large Cap,$29.21B,iShares Russell 1000 ETF,IWB,Blackrock,15.39%,14.66%,19.52%,-8.29%,iShares Russell 1000 ETF,11.58%,-6.03%,-8.97%,iShares Russell 1000 ETF,$77.60M,-$440.44M,-$578.12M,-$325.96M,"-$1,019.95M"
35,0.16%,Equity: U.S. - Large Cap,$29.09B,SPDR Dow Jones Industrial Average ETF Trust,DIA,State Street Global Advisors,13.68%,12.90%,13.79%,-4.49%,SPDR Dow Jones Industrial Average ETF Trust,12.68%,-3.64%,-5.53%,SPDR Dow Jones Industrial Average ETF Trust,$427.79M,$475.73M,$442.96M,$590.90M,$922.80M
36,0.19%,Equity: U.S. - Mid Cap,$28.52B,iShares Russell Mid-Cap ETF,IWR,Blackrock,11.79%,12.78%,15.54%,-8.77%,iShares Russell Mid-Cap ETF,6.31%,-10.07%,-9.89%,iShares Russell Mid-Cap ETF,"$1,431.88M",$742.32M,$23.48M,$85.74M,"$2,228.08M"
37,0.15%,Equity: U.S. - Total Market,$27.91B,iShares MSCI USA Min Vol Factor ETF,USMV,Blackrock,12.21%,12.78%,12.97%,-6.73%,iShares MSCI USA Min Vol Factor ETF,10.41%,-3.96%,-8.15%,iShares MSCI USA Min Vol Factor ETF,"-$5,539.29M",$125.97M,-$114.50M,-$34.21M,"-$1,119.51M"
38,0.04%,Equity: U.S. - Large Cap,$25.90B,Vanguard Large-Cap ETF,VV,Vanguard,15.76%,14.83%,19.87%,-8.48%,Vanguard Large-Cap ETF,12.15%,-5.90%,-9.40%,Vanguard Large-Cap ETF,"$1,488.67M",$600.46M,$372.82M,$435.98M,"$3,513.62M"
39,0.07%,Equity: U.S. - Small Cap Value,$25.81B,Vanguard Small-Cap Value ETF,VBR,Vanguard,8.67%,11.90%,12.86%,-3.78%,Vanguard Small-Cap Value ETF,14.26%,-5.13%,-5.08%,Vanguard Small-Cap Value ETF,"$3,561.16M","$1,166.99M",$374.74M,$456.47M,"$7,364.89M"
40,0.07%,"Fixed Income: U.S. - Government, Local Authority/Municipal Investment Grade",$24.75B,iShares National Muni Bond ETF,MUB,Blackrock,3.37%,2.69%,3.76%,-1.94%,iShares National Muni Bond ETF,-0.92%,-0.81%,-1.81%,iShares National Muni Bond ETF,"$4,417.06M","$1,392.60M",-$21.52M,$106.24M,"$12,857.16M"
41,0.04%,"Fixed Income: U.S. - Government, Mortgage-backed Investment Grade",$24.59B,iShares MBS ETF,MBB,Blackrock,2.17%,1.92%,2.40%,-1.35%,iShares MBS ETF,-2.86%,-1.66%,-1.39%,iShares MBS ETF,-$756.77M,-$755.19M,-$647.53M,-$647.53M,"$10,866.43M"
42,0.18%,Equity: U.S. - Large Cap Value,$24.24B,iShares S&P 500 Value ETF,IVE,Blackrock,10.61%,12.02%,14.52%,-1.90%,iShares S&P 500 Value ETF,18.59%,-0.84%,-3.29%,iShares S&P 500 Value ETF,"$2,193.68M","$1,373.21M","$1,109.20M","$1,148.31M","$2,980.79M"
43,0.15%,Equity: U.S. - Total Market,$23.45B,iShares ESG Aware MSCI USA ETF,ESGU,Blackrock,16.23%,--,20.54%,-8.47%,iShares ESG Aware MSCI USA ETF,11.60%,-6.04%,-9.26%,iShares ESG Aware MSCI USA ETF,"$8,761.61M","$1,780.66M",$171.34M,$355.78M,"$19,085.48M"
44,0.06%,"Fixed Income: U.S. - Corporate, Broad-based Investment Grade Short-Term",$23.11B,iShares 1-5 Year Investment Grade Corporate Bond ETF,IGSB,Blackrock,2.65%,2.02%,3.37%,-0.89%,iShares 1-5 Year Investment Grade Corporate Bond ETF,-1.37%,-1.13%,-0.89%,iShares 1-5 Year Investment Grade Corporate Bond ETF,"$1,473.13M",-$291.55M,$296.93M,$385.73M,"$12,657.12M"
45,0.08%,Equity: U.S. - Total Market,$22.34B,iShares Core Dividend Growth ETF,DGRO,Blackrock,15.04%,--,17.65%,-3.71%,iShares Core Dividend Growth ETF,17.73%,-0.17%,-5.13%,iShares Core Dividend Growth ETF,"$4,544.31M","$1,521.08M",$567.30M,$719.23M,"$11,325.72M"
46,0.15%,Equity: U.S. - Total Market,$22.11B,iShares MSCI USA Quality Factor ETF,QUAL,Blackrock,14.96%,--,18.86%,-9.51%,iShares MSCI USA Quality Factor ETF,12.75%,-7.33%,-10.55%,iShares MSCI USA Quality Factor ETF,"-$1,010.88M",-$135.82M,-$669.42M,-$625.96M,"$5,317.44M"
47,0.03%,Equity: U.S. - Total Market,$21.95B,Schwab U.S. Broad Market ETF,SCHB,Charles Schwab,15.04%,14.50%,19.07%,-8.54%,Schwab U.S. Broad Market ETF,10.43%,-6.56%,-9.19%,Schwab U.S. Broad Market ETF,"$1,414.17M",$522.17M,$106.72M,$140.80M,"$1,218.22M"
48,0.15%,"Fixed Income: U.S. - Government, Treasury Investment Grade Short-Term",$21.40B,iShares 10-20 Year Treasury Bond ETF,SHY,Blackrock,1.37%,0.90%,1.73%,-0.47%,iShares 10-20 Year Treasury Bond ETF,-1.19%,-0.76%,-0.47%,iShares 10-20 Year Treasury Bond ETF,"$2,788.05M","$1,468.14M",$886.31M,"$1,065.86M",$655.50M
49,0.05%,"Fixed Income: U.S. - Government, Inflation-linked Investment Grade",$20.89B,Schwab U.S. TIPS ETF,SCHP,Charles Schwab,4.68%,2.66%,7.45%,-1.65%,Schwab U.S. TIPS ETF,2.94%,-1.48%,-2.40%,Schwab U.S. TIPS ETF,"$6,666.96M",$231.89M,$161.25M,$217.25M,"$14,011.96M"
50,0.35%,Equity: U.S. - High Dividend Yield,$20.37B,SPDR S&P Dividend ETF,SDY,State Street Global Advisors,11.08%,12.65%,13.36%,-0.91%,SPDR S&P Dividend ETF,18.32%,1.77%,-2.98%,SPDR S&P Dividend ETF,$485.41M,$287.42M,$112.89M,$157.42M,"-$1,522.23M"
51,0.12%,Equity: U.S. Consumer Discretionary,$20.22B,Consumer Discretionary Select Sector SPDR Fund,XLY,State Street Global Advisors,17.38%,17.31%,20.03%,-11.66%,Consumer Discretionary Select Sector SPDR Fund,5.78%,-8.99%,-12.20%,Consumer Discretionary Select Sector SPDR Fund,-$24.88M,$383.12M,-$429.05M,-$950.80M,$705.24M
52,0.39%,Equity: U.S. - High Dividend Yield,$20.02B,iShares Select Dividend ETF,DVY,Blackrock,10.13%,12.23%,13.53%,1.57%,iShares Select Dividend ETF,26.10%,2.56%,-0.15%,iShares Select Dividend ETF,"$1,632.71M",$864.19M,$195.31M,$213.64M,-$713.51M
53,0.23%,Equity: U.S. - Mid Cap,$19.95B,SPDR S&P Midcap 400 ETF Trust,MDY,State Street Global Advisors,10.14%,12.09%,14.10%,-7.11%,SPDR S&P Midcap 400 ETF Trust,6.92%,-7.41%,-8.67%,SPDR S&P Midcap 400 ETF Trust,-$933.99M,$56.70M,-$178.84M,-$39.79M,"-$4,227.05M"
54,0.05%,"Fixed Income: U.S. - Government, Inflation-linked Investment Grade Short-Term",$19.88B,Vanguard Short-Term Inflation-Protected Securities ETF,VTIP,Vanguard,3.12%,--,4.79%,-0.20%,Vanguard Short-Term Inflation-Protected Securities ETF,4.19%,-0.26%,-0.62%,Vanguard Short-Term Inflation-Protected Securities ETF,"$9,494.85M","$2,403.22M",$260.96M,$710.84M,"$13,915.59M"
55,0.46%,"Fixed Income: U.S. - Corporate, Preferred",$19.56B,iShares Preferred and Income Securities ETF,PFF,Blackrock,5.38%,5.83%,7.03%,-3.31%,iShares Preferred and Income Securities ETF,3.08%,-2.84%,-4.36%,iShares Preferred and Income Securities ETF,$524.23M,-$23.49M,-$192.17M,-$215.60M,"$5,164.58M"
56,0.48%,"Fixed Income: U.S. - Corporate, Broad-based High Yield",$18.55B,iShares iBoxx USD High Yield Corporate Bond ETF,HYG,Blackrock,4.43%,4.83%,5.13%,-2.36%,iShares iBoxx USD High Yield Corporate Bond ETF,1.45%,-1.20%,-2.20%,iShares iBoxx USD High Yield Corporate Bond ETF,"-$4,124.00M",-$984.75M,"-$2,424.75M","-$2,181.28M","$3,759.88M"
57,0.18%,"Fixed Income: U.S. - Broad Market, Broad-based Investment Grade Ultra-Short Term",$18.26B,JPMorgan Ultra-Short Income ETF,JPST,JPMorgan Chase,--,--,1.75%,-0.05%,JPMorgan Ultra-Short Income ETF,-0.01%,-0.15%,-0.08%,JPMorgan Ultra-Short Income ETF,"$2,518.56M",-$103.29M,-$186.69M,-$184.17M,"$13,041.90M"
58,0.95%,Leveraged Equity: U.S. - Large Cap,$17.04B,ProShares UltraPro QQQ,TQQQ,ProShares,53.51%,50.56%,68.24%,-35.64%,ProShares UltraPro QQQ,3.09%,-26.81%,-35.97%,ProShares UltraPro QQQ,"$6,713.86M","$4,180.16M","$3,501.82M","$2,930.28M","$3,943.03M"
59,0.12%,Equity: U.S. Industrials,$16.84B,Industrial Select Sector SPDR Fund,XLI,State Street Global Advisors,11.42%,12.89%,14.94%,-3.02%,Industrial Select Sector SPDR Fund,16.17%,-3.69%,-4.75%,Industrial Select Sector SPDR Fund,"-$1,706.70M",-$831.52M,$224.10M,-$52.40M,"$2,338.44M"
60,0.15%,"Fixed Income: U.S. - Government, Treasury Investment Grade Intermediate",$16.68B,iShares 7-10 Year Treasury Bond ETF,IEF,Blackrock,3.18%,2.48%,4.14%,-2.32%,iShares 7-10 Year Treasury Bond ETF,-4.61%,-1.04%,-2.05%,iShares 7-10 Year Treasury Bond ETF,"$3,615.89M","$2,612.54M",-$700.02M,"-$1,136.73M","$3,744.80M"
61,0.06%,"Fixed Income: U.S. - Broad Market, Broad-based",$16.60B,iShares Core Total USD Bond Market ETF,IUSB,Blackrock,3.39%,--,4.19%,-1.95%,iShares Core Total USD Bond Market ETF,-2.84%,-1.58%,-1.95%,iShares Core Total USD Bond Market ETF,"$7,753.38M","$1,257.86M",$256.39M,$330.45M,"$13,868.30M"
62,0.05%,"Fixed Income: U.S. - Government, Treasury Investment Grade",$16.19B,iShares U.S. Treasury Bond ETF,GOVT,Blackrock,2.60%,--,3.37%,-2.40%,iShares U.S. Treasury Bond ETF,-3.51%,-1.12%,-2.59%,iShares U.S. Treasury Bond ETF,"$2,087.92M",$794.14M,$178.41M,$299.73M,"$7,669.52M"
63,0.07%,Equity: U.S. - Mid Cap Value,$15.78B,Vanguard Mid-Cap Value ETF,VOE,Vanguard,9.98%,12.40%,14.38%,-2.19%,Vanguard Mid-Cap Value ETF,19.55%,-1.85%,-4.15%,Vanguard Mid-Cap Value ETF,"$2,232.58M",$811.61M,$416.05M,$461.17M,"$3,444.49M"
64,0.10%,Equity: U.S. Health Care,$15.77B,Vanguard Health Care ETF,VHT,Vanguard,14.81%,15.69%,14.42%,-9.81%,Vanguard Health Care ETF,2.38%,-6.02%,-10.35%,Vanguard Health Care ETF,"$1,534.91M",$366.72M,-$61.61M,-$1.68M,"$3,051.22M"
65,0.15%,"Fixed Income: U.S. - Government, Treasury Investment Grade Long-Term",$15.52B,iShares 20+ Year Treasury Bond ETF,TLT,Blackrock,5.87%,4.53%,7.56%,-4.24%,iShares 20+ Year Treasury Bond ETF,-6.03%,-0.82%,-4.03%,iShares 20+ Year Treasury Bond ETF,$59.05M,$845.30M,"-$3,462.88M","-$3,121.79M","$3,711.35M"
66,0.04%,Equity: U.S. - Small Cap,$15.52B,Schwab U.S. Small-Cap ETF,SCHA,Charles Schwab,9.30%,11.63%,12.55%,-9.85%,Schwab U.S. Small-Cap ETF,-4.09%,-12.45%,-10.28%,Schwab U.S. Small-Cap ETF,"$1,783.31M",$452.89M,$158.32M,$224.72M,"$4,605.31M"
67,0.06%,Equity: U.S. - Extended Market,$15.27B,Vanguard Extended Market ETF,VXF,Vanguard,11.43%,12.53%,14.68%,-12.98%,Vanguard Extended Market ETF,-8.46%,-17.46%,-12.88%,Vanguard Extended Market ETF,"$2,169.07M",$369.03M,-$56.48M,-$126.58M,"$4,963.16M"
68,0.04%,Equity: U.S. - Large Cap Growth,$15.13B,Schwab U.S. Large-Cap Growth ETF,SCHG,Charles Schwab,20.21%,17.15%,24.63%,-14.51%,Schwab U.S. Large-Cap Growth ETF,5.80%,-11.20%,-14.42%,Schwab U.S. Large-Cap Growth ETF,$706.79M,$181.22M,-$94.82M,-$45.17M,"$2,194.48M"
69,0.15%,Equity: U.S. - Total Market Value,$15.08B,iShares MSCI USA Value Factor ETF,VLUE,Blackrock,10.97%,--,13.58%,-1.52%,iShares MSCI USA Value Factor ETF,17.54%,2.68%,-2.67%,iShares MSCI USA Value Factor ETF,"$2,468.53M","-$1,049.50M",-$599.95M,-$578.00M,"$8,192.33M"
70,0.04%,"Fixed Income: U.S. - Government, Mortgage-backed Investment Grade",$15.04B,Vanguard Mortgage-Backed Securities ETF,VMBS,Vanguard,2.13%,1.97%,2.34%,-1.27%,Vanguard Mortgage-Backed Securities ETF,-2.57%,-1.42%,-1.34%,Vanguard Mortgage-Backed Securities ETF,"$1,953.09M",$129.33M,-$60.89M,$2.47M,"$7,442.11M"
71,0.24%,Equity: U.S. - Small Cap Value,$15.00B,iShares Russell 2000 Value ETF,IWN,Blackrock,7.36%,10.48%,11.91%,-5.13%,iShares Russell 2000 Value ETF,10.58%,-6.84%,-5.85%,iShares Russell 2000 Value ETF,$494.43M,-$80.05M,-$47.12M,$10.97M,"$2,200.29M"
72,0.06%,"Fixed Income: U.S. - Government, Local Authority/Municipal Investment Grade",$14.54B,Vanguard Tax-Exempt Bond ETF,VTEB,Vanguard,3.52%,--,3.89%,-1.86%,Vanguard Tax-Exempt Bond ETF,-0.77%,-0.67%,-1.75%,Vanguard Tax-Exempt Bond ETF,"$3,879.64M",$611.42M,-$180.52M,-$95.35M,"$10,321.20M"
73,0.12%,Equity: U.S. Consumer Staples,$14.50B,Consumer Staples Select Sector SPDR Fund,XLP,State Street Global Advisors,10.15%,11.64%,16.17%,-0.51%,Consumer Staples Select Sector SPDR Fund,16.79%,5.82%,-2.90%,Consumer Staples Select Sector SPDR Fund,$880.11M,"$2,322.24M","$1,613.20M","$1,396.68M",$752.95M
74,0.19%,Equity: U.S. - Total Market,$14.45B,Dimensional U.S. Core Equity 2 ETF,DFAC,Dimensional Fund Advisors LP,--,--,--,-6.84%,Dimensional U.S. Core Equity 2 ETF,--,-4.70%,-7.80%,Dimensional U.S. Core Equity 2 ETF,"$1,121.93M",$595.61M,$262.38M,$300.15M,"$1,121.93M"
75,0.23%,Equity: U.S. - Mid Cap Value,$14.40B,iShares Russell Mid-Cap Value ETF,IWS,Blackrock,9.03%,11.85%,13.85%,-4.27%,iShares Russell Mid-Cap Value ETF,16.04%,-4.23%,-6.05%,iShares Russell Mid-Cap Value ETF,$538.43M,$275.91M,-$90.32M,-$41.52M,-$463.13M
76,0.05%,"Fixed Income: U.S. - Broad Market, Broad-based Investment Grade Intermediate",$14.09B,Vanguard Intermediate-Term Bond ETF,BIV,Vanguard,3.73%,3.24%,4.83%,-2.03%,Vanguard Intermediate-Term Bond ETF,-3.71%,-1.47%,-1.92%,Vanguard Intermediate-Term Bond ETF,-$181.08M,-$92.52M,$17.91M,-$183.87M,"$2,211.99M"
77,0.14%,"Fixed Income: U.S. - Government, Treasury Investment Grade Ultra-Short Term",$14.03B,SPDR Bloomberg 1-3 Month T-Bill ETF,BIL,State Street Global Advisors,0.94%,0.45%,0.72%,-0.01%,SPDR Bloomberg 1-3 Month T-Bill ETF,-0.12%,-0.04%,-0.02%,SPDR Bloomberg 1-3 Month T-Bill ETF,"$1,426.05M",$978.25M,$443.38M,$475.38M,"$5,416.65M"
