ticker,aum,expense,segment,name,issuer,return_ytd,return_5y,return_1y,return_1m,return_3y,return_10y,return_3m,flow_3y,flow_3m,flow_1y,flow_ytd,flow_1m
SCHX,"32,180,000,000 ",0.03%,Equity: U.S. - Large Cap,Schwab U.S. Large-Cap ETF,Charles Schwab,-9.35%,15.60%,11.88%,-8.71%,19.59%,14.81%,-6.37%,"$7,162.17M",$564.61M,"$2,963.94M",$134.48M,$185.75M
SCHD,"31,680,000,000 ",0.06%,Equity: U.S. - High Dividend Yield,Schwab U.S. Dividend Equity ETF,Charles Schwab,-4.23%,15.64%,21.31%,-2.75%,20.31%,14.55%,0.06%,"$16,327.95M","$2,100.54M","$10,930.48M","$1,540.17M","$1,789.40M"
RSP,"31,650,000,000 ",0.20%,Equity: U.S. - Large Cap,Invesco S&P 500 Equal Weight ETF,Invesco,-6.88%,13.24%,17.62%,-5.42%,17.38%,13.78%,-4.14%,"$9,786.78M","$1,779.28M","$8,491.02M","$1,355.11M","$1,513.01M"
IWB,"29,210,000,000 ",0.15%,Equity: U.S. - Large Cap,iShares Russell 1000 ETF,Blackrock,-9.32%,15.33%,11.54%,-8.64%,19.34%,14.68%,-6.41%,"-$1,019.95M",-$440.44M,$77.60M,-$578.12M,-$325.96M
DIA,"29,090,000,000 ",0.16%,Equity: U.S. - Large Cap,SPDR Dow Jones Industrial Average ETF Trust,State Street Global Advisors,-5.95%,13.55%,12.28%,-4.91%,13.61%,12.87%,-4.05%,$922.80M,$475.73M,$427.79M,$442.96M,$590.90M
IWR,"28,520,000,000 ",0.19%,Equity: U.S. - Mid Cap,iShares Russell Mid-Cap ETF,Blackrock,-10.73%,11.64%,6.38%,-9.62%,15.16%,12.74%,-10.59%,"$2,228.08M",$742.32M,"$1,431.88M",$23.48M,$85.74M
USMV,"27,910,000,000 ",0.15%,Equity: U.S. - Total Market,iShares MSCI USA Min Vol Factor ETF,Blackrock,-9.25%,11.97%,9.17%,-7.84%,12.50%,12.68%,-5.10%,"-$1,119.51M",$125.97M,"-$5,539.29M",-$114.50M,-$34.21M
VV,"25,900,000,000 ",0.04%,Equity: U.S. - Large Cap,Vanguard Large-Cap ETF,Vanguard,-9.61%,15.73%,12.22%,-8.70%,19.75%,14.87%,-6.21%,"$3,513.62M",$600.46M,"$1,488.67M",$372.82M,$435.98M
VBR,"25,810,000,000 ",0.07%,Equity: U.S. - Small Cap Value,Vanguard Small-Cap Value ETF,Vanguard,-6.07%,8.48%,13.90%,-4.79%,12.45%,11.83%,-5.35%,"$7,364.89M","$1,166.99M","$3,561.16M",$374.74M,$456.47M
MUB,"24,750,000,000 ",0.07%,"Fixed Income: U.S. - Government, Local Authority/Municipal Investment Grade",iShares National Muni Bond ETF,Blackrock,-2.05%,3.32%,-1.34%,-2.18%,3.67%,2.57%,-1.03%,"$12,857.16M","$1,392.60M","$4,417.06M",-$21.52M,$106.24M
MBB,"24,590,000,000 ",0.04%,"Fixed Income: U.S. - Government, Mortgage-backed Investment Grade",iShares MBS ETF,Blackrock,-1.91%,2.04%,-3.35%,-1.87%,2.21%,1.85%,-2.24%,"$10,866.43M",-$755.19M,-$756.77M,-$647.53M,-$647.53M
IVE,"24,240,000,000 ",0.18%,Equity: U.S. - Large Cap Value,iShares S&P 500 Value ETF,Blackrock,-3.88%,10.49%,18.33%,-2.49%,14.27%,12.05%,-1.39%,"$2,980.79M","$1,373.21M","$2,193.68M","$1,109.20M","$1,148.31M"
ESGU,"23,450,000,000 ",0.15%,Equity: U.S. - Total Market,iShares ESG Aware MSCI USA ETF,Blackrock,-9.67%,16.12%,11.29%,-8.88%,20.33%,--,-6.59%,"$19,085.48M","$1,780.66M","$8,761.61M",$171.34M,$355.78M
IGSB,"23,110,000,000 ",0.06%,"Fixed Income: U.S. - Corporate, Broad-based Investment Grade Short-Term",iShares 1-5 Year Investment Grade Corporate Bond ETF,Blackrock,-1.13%,2.59%,-1.60%,-1.13%,3.28%,1.98%,-1.36%,"$12,657.12M",-$291.55M,"$1,473.13M",$296.93M,$385.73M
DGRO,"22,340,000,000 ",0.08%,Equity: U.S. - Total Market,iShares Core Dividend Growth ETF,Blackrock,-5.33%,15.01%,17.84%,-3.91%,17.55%,--,-0.47%,"$11,325.72M","$1,521.08M","$4,544.31M",$567.30M,$719.23M
QUAL,"22,110,000,000 ",0.15%,Equity: U.S. - Total Market,iShares MSCI USA Quality Factor ETF,Blackrock,-10.77%,14.96%,12.72%,-9.72%,18.74%,--,-7.30%,"$5,317.44M",-$135.82M,"-$1,010.88M",-$669.42M,-$625.96M
SCHB,"21,950,000,000 ",0.03%,Equity: U.S. - Total Market,Schwab U.S. Broad Market ETF,Charles Schwab,-9.55%,14.98%,10.35%,-8.90%,18.89%,14.51%,-6.95%,"$1,218.22M",$522.17M,"$1,414.17M",$106.72M,$140.80M
SHY,"21,400,000,000 ",0.15%,"Fixed Income: U.S. - Government, Treasury Investment Grade Short-Term",iShares 10-20 Year Treasury Bond ETF,Blackrock,-0.64%,1.33%,-1.35%,-0.64%,1.67%,0.88%,-0.91%,$655.50M,"$1,468.14M","$2,788.05M",$886.31M,"$1,065.86M"
SCHP,"20,890,000,000 ",0.05%,"Fixed Income: U.S. - Government, Inflation-linked Investment Grade",Schwab U.S. TIPS ETF,Charles Schwab,-2.94%,4.52%,2.49%,-2.20%,7.24%,2.56%,-2.38%,"$14,011.96M",$231.89M,"$6,666.96M",$161.25M,$217.25M
SDY,"20,370,000,000 ",0.35%,Equity: U.S. - High Dividend Yield,SPDR S&P Dividend ETF,State Street Global Advisors,-4.14%,10.85%,17.03%,-2.09%,12.89%,12.53%,0.67%,"-$1,522.23M",$287.42M,$485.41M,$112.89M,$157.42M
XLY,"20,220,000,000 ",0.12%,Equity: U.S. Consumer Discretionary,Consumer Discretionary Select Sector SPDR Fund,State Street Global Advisors,-12.62%,17.23%,5.34%,-12.09%,19.81%,17.27%,-9.44%,$705.24M,$383.12M,-$24.88M,-$429.05M,-$950.80M
DVY,"20,020,000,000 ",0.39%,Equity: U.S. - High Dividend Yield,iShares Select Dividend ETF,Blackrock,-0.81%,10.06%,25.38%,0.90%,13.26%,12.17%,2.14%,-$713.51M,$864.19M,"$1,632.71M",$195.31M,$213.64M
MDY,"19,950,000,000 ",0.23%,Equity: U.S. - Mid Cap,SPDR S&P Midcap 400 ETF Trust,State Street Global Advisors,-9.63%,9.98%,6.86%,-8.09%,13.68%,12.05%,-7.80%,"-$4,227.05M",$56.70M,-$933.99M,-$178.84M,-$39.79M
VTIP,"19,880,000,000 ",0.05%,"Fixed Income: U.S. - Government, Inflation-linked Investment Grade Short-Term",Vanguard Short-Term Inflation-Protected Securities ETF,Vanguard,-0.89%,3.06%,3.88%,-0.47%,4.68%,--,-0.57%,"$13,915.59M","$2,403.22M","$9,494.85M",$260.96M,$710.84M
PFF,"19,560,000,000 ",0.46%,"Fixed Income: U.S. - Corporate, Preferred",iShares Preferred and Income Securities ETF,Blackrock,-5.17%,5.11%,2.47%,-4.13%,6.71%,5.70%,-3.74%,"$5,164.58M",-$23.49M,$524.23M,-$192.17M,-$215.60M
HYG,"18,550,000,000 ",0.48%,"Fixed Income: U.S. - Corporate, Broad-based High Yield",iShares iBoxx USD High Yield Corporate Bond ETF,Blackrock,-2.53%,4.37%,1.25%,-2.70%,5.01%,4.77%,-1.56%,"$3,759.88M",-$984.75M,"-$4,124.00M","-$2,424.75M","-$2,181.28M"
JPST,"18,260,000,000 ",0.18%,"Fixed Income: U.S. - Broad Market, Broad-based Investment Grade Ultra-Short Term",JPMorgan Ultra-Short Income ETF,JPMorgan Chase,-0.10%,--,-0.01%,-0.07%,1.74%,--,-0.19%,"$13,041.90M",-$103.29M,"$2,518.56M",-$186.69M,-$184.17M
TQQQ,"17,040,000,000 ",0.95%,Leveraged Equity: U.S. - Large Cap,ProShares UltraPro QQQ,ProShares,-36.09%,53.32%,2.78%,-35.76%,68.02%,50.69%,-27.63%,"$3,943.03M","$4,180.16M","$6,713.86M","$3,501.82M","$2,930.28M"
XLI,"16,840,000,000 ",0.12%,Equity: U.S. Industrials,Industrial Select Sector SPDR Fund,State Street Global Advisors,-5.59%,11.17%,16.23%,-3.87%,14.59%,12.81%,-3.93%,"$2,338.44M",-$831.52M,"-$1,706.70M",$224.10M,-$52.40M
IEF,"16,680,000,000 ",0.15%,"Fixed Income: U.S. - Government, Treasury Investment Grade Intermediate",iShares 7-10 Year Treasury Bond ETF,Blackrock,-2.75%,3.01%,-5.25%,-3.02%,3.88%,2.35%,-1.87%,"$3,744.80M","$2,612.54M","$3,615.89M",-$700.02M,"-$1,136.73M"
IUSB,"16,600,000,000 ",0.06%,"Fixed Income: U.S. - Broad Market, Broad-based",iShares Core Total USD Bond Market ETF,Blackrock,-2.44%,3.26%,-3.36%,-2.44%,4.01%,--,-2.22%,"$13,868.30M","$1,257.86M","$7,753.38M",$256.39M,$330.45M
GOVT,"16,190,000,000 ",0.05%,"Fixed Income: U.S. - Government, Treasury Investment Grade",iShares U.S. Treasury Bond ETF,Blackrock,-3.07%,2.48%,-3.94%,-2.89%,3.19%,--,-1.76%,"$7,669.52M",$794.14M,"$2,087.92M",$178.41M,$299.73M
VOE,"15,780,000,000 ",0.07%,Equity: U.S. - Mid Cap Value,Vanguard Mid-Cap Value ETF,Vanguard,-4.85%,9.89%,19.17%,-2.90%,14.08%,12.40%,-2.13%,"$3,444.49M",$811.61M,"$2,232.58M",$416.05M,$461.17M
VHT,"15,770,000,000 ",0.10%,Equity: U.S. Health Care,Vanguard Health Care ETF,Vanguard,-10.83%,14.86%,2.62%,-10.29%,14.19%,15.67%,-6.98%,"$3,051.22M",$366.72M,"$1,534.91M",-$61.61M,-$1.68M
TLT,"15,520,000,000 ",0.15%,"Fixed Income: U.S. - Government, Treasury Investment Grade Long-Term",iShares 20+ Year Treasury Bond ETF,Blackrock,-5.19%,5.54%,-6.99%,-5.40%,7.12%,4.26%,-2.82%,"$3,711.35M",$845.30M,$59.05M,"-$3,462.88M","-$3,121.79M"
SCHA,"15,520,000,000 ",0.04%,Equity: U.S. - Small Cap,Schwab U.S. Small-Cap ETF,Charles Schwab,-11.28%,9.13%,-4.47%,-10.85%,12.12%,11.56%,-12.75%,"$4,605.31M",$452.89M,"$1,783.31M",$158.32M,$224.72M
VXF,"15,270,000,000 ",0.06%,Equity: U.S. - Extended Market,Vanguard Extended Market ETF,Vanguard,-14.02%,11.19%,-8.71%,-14.12%,14.16%,12.44%,-18.05%,"$4,963.16M",$369.03M,"$2,169.07M",-$56.48M,-$126.58M
SCHG,"15,130,000,000 ",0.04%,Equity: U.S. - Large Cap Growth,Schwab U.S. Large-Cap Growth ETF,Charles Schwab,-14.34%,20.24%,6.09%,-14.44%,24.63%,17.22%,-11.35%,"$2,194.48M",$181.22M,$706.79M,-$94.82M,-$45.17M
VLUE,"15,080,000,000 ",0.15%,Equity: U.S. - Total Market Value,iShares MSCI USA Value Factor ETF,Blackrock,-3.54%,10.83%,16.72%,-2.40%,13.22%,--,2.43%,"$8,192.33M","-$1,049.50M","$2,468.53M",-$599.95M,-$578.00M
VMBS,"15,040,000,000 ",0.04%,"Fixed Income: U.S. - Government, Mortgage-backed Investment Grade",Vanguard Mortgage-Backed Securities ETF,Vanguard,-1.95%,1.98%,-3.17%,-1.88%,2.13%,1.89%,-2.08%,"$7,442.11M",$129.33M,"$1,953.09M",-$60.89M,$2.47M
IWN,"15,000,000,000 ",0.24%,Equity: U.S. - Small Cap Value,iShares Russell 2000 Value ETF,Blackrock,-7.03%,7.16%,9.74%,-6.33%,11.42%,10.36%,-7.22%,"$2,200.29M",-$80.05M,$494.43M,-$47.12M,$10.97M
VTEB,"14,540,000,000 ",0.06%,"Fixed Income: U.S. - Government, Local Authority/Municipal Investment Grade",Vanguard Tax-Exempt Bond ETF,Vanguard,-2.13%,3.44%,-1.34%,-2.24%,3.75%,--,-1.02%,"$10,321.20M",$611.42M,"$3,879.64M",-$180.52M,-$95.35M
XLP,"14,500,000,000 ",0.12%,Equity: U.S. Consumer Staples,Consumer Staples Select Sector SPDR Fund,State Street Global Advisors,-3.64%,10.08%,14.87%,-1.26%,15.85%,11.60%,4.64%,$752.95M,"$2,322.24M",$880.11M,"$1,613.20M","$1,396.68M"
DFAC,"14,450,000,000 ",0.19%,Equity: U.S. - Total Market,Dimensional U.S. Core Equity 2 ETF,Dimensional Fund Advisors LP,-8.42%,--,--,-7.46%,--,--,-5.11%,"$1,121.93M",$595.61M,"$1,121.93M",$262.38M,$300.15M
IWS,"14,400,000,000 ",0.23%,Equity: U.S. - Mid Cap Value,iShares Russell Mid-Cap Value ETF,Blackrock,-6.73%,8.87%,16.08%,-4.96%,13.55%,11.83%,-4.62%,-$463.13M,$275.91M,$538.43M,-$90.32M,-$41.52M
BIV,"14,090,000,000 ",0.05%,"Fixed Income: U.S. - Broad Market, Broad-based Investment Grade Intermediate",Vanguard Intermediate-Term Bond ETF,Vanguard,-2.51%,3.58%,-4.33%,-2.62%,4.61%,3.11%,-2.20%,"$2,211.99M",-$92.52M,-$181.08M,$17.91M,-$183.87M
BIL,"14,030,000,000 ",0.14%,"Fixed Income: U.S. - Government, Treasury Investment Grade Ultra-Short Term",SPDR Bloomberg 1-3 Month T-Bill ETF,State Street Global Advisors,-0.01%,0.93%,-0.10%,0%,0.72%,0.45%,-0.01%,"$5,416.65M",$978.25M,"$1,426.05M",$443.38M,$475.38M
VGSH,"13,960,000,000 ",0.04%,"Fixed Income: U.S. - Government, Treasury Investment Grade Short-Term",Vanguard Short-Term Treasury Index ETF,Vanguard,-0.66%,1.41%,-1.28%,-0.66%,1.76%,0.94%,-0.90%,"$8,418.46M",$411.80M,"$4,123.15M",$262.06M,$239.30M
VBK,"13,840,000,000 ",0.07%,Equity: U.S. - Small Cap Growth,Vanguard Small-Cap Growth ETF,Vanguard,-16.70%,11.98%,-17.02%,-16.46%,12.63%,12.01%,-19.95%,"$2,503.69M",$303.63M,"$1,246.79M",-$6.47M,$44.03M
SHV,"13,560,000,000 ",0.15%,"Fixed Income: U.S. - Government, Treasury Investment Grade Ultra-Short Term",iShares Short Treasury Bond ETF,Blackrock,-0.06%,1.06%,-0.14%,-0.06%,0.93%,0.58%,-0.10%,"-$7,542.71M",-$171.46M,"-$3,064.31M",$475.71M,$558.51M
GSLC,"13,430,000,000 ",0.09%,Equity: U.S. - Large Cap,Goldman Sachs ActiveBeta U.S. Large Cap Equity ETF,Goldman Sachs,-9.55%,15.25%,11.46%,-8.90%,18.39%,--,-5.65%,"$5,105.11M",$149.11M,$212.09M,-$68.13M,$8.20M
IWP,"13,360,000,000 ",0.23%,Equity: U.S. - Mid Cap Growth,iShares Russell Mid-Cap Growth ETF,Blackrock,-17.71%,14.16%,-9.50%,-17.57%,15.53%,13.34%,-20.45%,"-$1,296.15M",$59.70M,-$746.76M,-$180.43M,-$87.99M
SPYG,"13,270,000,000 ",0.04%,Equity: U.S. - Large Cap Growth,SPDR Portfolio S&P 500 Growth ETF,State Street Global Advisors,-13.00%,19.74%,10.67%,-12.70%,23.76%,16.98%,-7.71%,"$5,270.13M",$345.63M,"$2,594.54M",-$964.09M,-$879.67M
MINT,"13,150,000,000 ",0.35%,"Fixed Income: U.S. - Broad Market, Broad-based Investment Grade Short-Term",PIMCO Enhanced Short Maturity Active ETF,PIMCO,-0.22%,1.62%,-0.34%,-0.18%,1.44%,1.41%,-0.32%,"$1,207.95M","-$1,023.90M","-$1,230.71M",-$511.51M,-$575.51M
SPYV,"13,060,000,000 ",0.04%,Equity: U.S. - Large Cap Value,SPDR Portfolio S&P 500 Value ETF,State Street Global Advisors,-3.95%,10.74%,18.43%,-2.56%,14.40%,12.18%,-1.42%,"$8,195.44M",$61.19M,"$3,592.13M",$538.71M,$605.66M
XLU,"12,960,000,000 ",0.12%,Equity: U.S. Utilities,Utilities Select Sector SPDR Fund,State Street Global Advisors,-7.01%,10.12%,8.13%,-4.53%,11.20%,10.37%,-0.35%,"$2,318.93M",$697.98M,$298.33M,$806.40M,$477.72M
SPLG,"12,790,000,000 ",0.03%,Equity: U.S. - Large Cap,SPDR Portfolio S&P 500 ETF,State Street Global Advisors,-8.71%,15.66%,14.57%,-7.91%,19.80%,14.86%,-4.60%,"$7,955.47M",$459.07M,"$3,550.27M",$238.58M,$367.16M
FVD,"12,620,000,000 ",0.70%,Equity: U.S. - High Dividend Yield,First Trust Value Line Dividend Index Fund,First Trust,-4.86%,8.51%,17.32%,-2.82%,11.70%,10.01%,-0.33%,"$5,372.77M",$224.64M,$645.11M,$178.62M,$212.84M
MGK,"12,510,000,000 ",0.07%,Equity: U.S. - Large Cap Growth,Vanguard Mega Cap Growth ETF,Vanguard,-13.83%,20.91%,7.21%,-13.61%,26.27%,17.42%,-9.99%,"$4,012.53M",$898.23M,"$1,875.24M",$161.26M,$194.16M
XLC,"12,500,000,000 ",0.12%,Equity: U.S. Communication Services,Communication Services Select Sector SPDR Fund,State Street Global Advisors,-9.60%,--,0.79%,-10.10%,17.27%,--,-12.05%,"$4,537.06M",-$829.63M,$363.92M,-$624.19M,-$455.17M
MTUM,"12,220,000,000 ",0.15%,Equity: U.S. - Total Market,iShares MSCI USA Momentum Factor ETF,Blackrock,-12.84%,16.33%,-5.87%,-12.54%,15.91%,--,-16.21%,$56.42M,"-$1,990.58M","-$2,016.88M",-$695.21M,-$704.36M
IUSG,"11,840,000,000 ",0.04%,Equity: U.S. - Total Market Growth,iShares Core S&P U.S. Growth ETF,Blackrock,-13.17%,19.13%,9.72%,-12.76%,23.10%,16.44%,-8.12%,"$1,196.12M",$25.30M,$348.16M,-$433.36M,-$380.88M
VFH,"11,820,000,000 ",0.10%,Equity: U.S. Financials,Vanguard Financials ETF,Vanguard,-2.20%,11.65%,29.99%,-1.72%,15.83%,14.58%,-5.50%,"$1,955.51M",$561.13M,"$2,016.10M",$442.98M,$435.74M
IWV,"11,640,000,000 ",0.20%,Equity: U.S. - Total Market,iShares Russell 3000 ETF,Blackrock,-9.45%,14.83%,10.22%,-8.83%,18.76%,14.37%,-6.90%,"-$2,650.01M",$92.57M,-$383.13M,-$209.39M,-$153.97M
IUSV,"11,570,000,000 ",0.04%,Equity: U.S. - Total Market Value,iShares Core S&P U.S. Value ETF,Blackrock,-4.02%,10.54%,18.29%,-2.62%,14.37%,12.28%,-1.57%,"$3,936.49M",$580.90M,"$2,508.99M",-$39.75M,$9.90M
IGIB,"11,420,000,000 ",0.06%,"Fixed Income: U.S. - Corporate, Broad-based Investment Grade Intermediate",iShares 5-10 Year Investment Grade Corporate Bond ETF,Blackrock,-2.78%,4.24%,-3.89%,-2.85%,5.67%,3.52%,-2.57%,"$5,682.05M",-$49.98M,$931.20M,$72.41M,$125.69M
